                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.74364,                0.63804,                 1.1883,                 0.7294,                0.59468,                  0.644,                0.34473,                  1.469,                 1.1599,                 1.8771,              0.0011224,              0.0011224,              0.0011224
                     36,                0.73893,                0.62186,                 1.1846,                 0.8086,                0.67611,                0.75583,                0.43091,                  1.206,                 0.9171,                 1.6554,              0.0011059,              0.0011059,              0.0011059
                     37,                0.74018,                0.63602,                 1.1966,                0.87806,                0.67742,                0.74081,                  0.419,                 1.2492,                0.94754,                 1.7521,              0.0010894,              0.0010894,              0.0010894
                     38,                0.74296,                 0.6434,                 1.1825,                0.73073,                0.66193,                0.66575,                0.33435,                 1.5084,                 1.1712,                  2.197,              0.0010729,              0.0010729,              0.0010729
                     39,                0.70572,                0.58795,                 1.1608,                0.81237,                0.72596,                0.75653,                0.43841,                 1.2372,                0.90769,                 1.7021,              0.0010564,              0.0010564,              0.0010564
                     40,                0.73843,                0.63135,                 1.1937,                0.61605,                0.61615,                0.62168,                0.30485,                 1.5082,                 1.3776,                 1.9069,              0.0010399,              0.0010399,              0.0010399
                     41,                0.71736,                  0.609,                 1.1679,                0.76121,                 0.6944,                0.72807,                0.40408,                 1.4472,                 1.2389,                 1.8927,              0.0010234,              0.0010234,              0.0010234
                     42,                0.73207,                0.62367,                 1.1808,                0.94866,                0.61111,                0.72161,                0.41013,                 1.2351,                0.95599,                 1.7827,              0.0010069,              0.0010069,              0.0010069
                     43,                 0.6961,                0.57653,                 1.1711,                0.76841,                0.70445,                0.70472,                 0.4088,                 1.3615,                0.96911,                 1.8397,             0.00099036,             0.00099036,             0.00099036
                     44,                0.72665,                 0.6184,                 1.1776,                0.72128,                0.72274,                0.71934,                0.41654,                 1.4387,                 1.0413,                 1.8839,             0.00097386,             0.00097386,             0.00097386
                     45,                0.71737,                0.61036,                 1.1665,                0.87738,                0.70114,                0.73717,                0.44188,                 1.1277,                0.88494,                 1.6549,             0.00095736,             0.00095736,             0.00095736
