                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.66821,                0.56346,                  1.133,                0.82553,                0.72721,                0.75236,                0.44494,                 1.1885,                0.89827,                 1.6578,             0.00057778,             0.00057778,             0.00057778
                     36,                0.68246,                0.57158,                 1.1498,                0.83048,                0.73914,                0.76677,                0.43845,                 1.2412,                0.88641,                 1.6408,             0.00054478,             0.00054478,             0.00054478
                     37,                0.67437,                 0.5751,                 1.1436,                0.79499,                0.74328,                0.76842,                0.46007,                 1.1569,                0.86651,                 1.5891,             0.00051177,             0.00051177,             0.00051177
                     38,                0.66048,                0.57077,                 1.1287,                0.87375,                 0.6737,                0.73269,                0.41835,                 1.3593,                0.94332,                 1.9853,             0.00047876,             0.00047876,             0.00047876
                     39,                0.64103,                0.53553,                 1.1175,                0.91104,                0.73235,                0.77333,                0.46182,                 1.1886,                0.88812,                 1.6403,             0.00044576,             0.00044576,             0.00044576
                     40,                0.68085,                0.58535,                 1.1548,                0.83388,                0.73667,                0.74511,                0.42758,                 1.2655,                0.86732,                 1.7353,             0.00041275,             0.00041275,             0.00041275
                     41,                0.66483,                0.62395,                 1.1672,                0.87391,                0.78439,                0.79003,                0.43501,                   1.35,                0.90659,                 1.8729,             0.00037974,             0.00037974,             0.00037974
                     42,                0.61734,                0.50219,                   1.13,                0.86476,                0.72273,                0.76159,                0.47137,                 1.2431,                0.82628,                 1.9186,             0.00034674,             0.00034674,             0.00034674
                     43,                0.60674,                0.48451,                 1.1034,                0.80281,                0.76323,                 0.7865,                0.46256,                 1.2964,                0.89336,                 1.7375,             0.00031373,             0.00031373,             0.00031373
                     44,                0.59477,                0.48082,                 1.1059,                0.85179,                0.72273,                0.76895,                0.49667,                 1.1684,                0.83181,                 1.6709,             0.00028072,             0.00028072,             0.00028072
                     45,                0.57066,                0.45935,                 1.0933,                 0.8635,                0.74197,                0.78159,                0.49223,                 1.2415,                   0.84,                 1.7812,             0.00024772,             0.00024772,             0.00024772
                     46,                0.54955,                0.44285,                 1.0761,                0.81192,                0.78372,                0.78897,                0.49541,                 1.2388,                 0.7945,                 1.7663,             0.00021471,             0.00021471,             0.00021471
                     47,                0.52528,                0.41859,                 1.0504,                0.88046,                0.77081,                0.80904,                0.51246,                 1.1837,                0.78111,                 1.7441,              0.0001817,              0.0001817,              0.0001817
                     48,                0.52967,                0.42194,                 1.0632,                0.80527,                0.76355,                0.78815,                0.50636,                 1.2026,                0.81902,                 1.7535,              0.0001487,              0.0001487,              0.0001487
                     49,                 0.5317,                0.41044,                 1.0665,                0.81592,                0.76071,                0.78759,                0.50577,                 1.2148,                0.81969,                 1.7587,             0.00011569,             0.00011569,             0.00011569
                     50,                0.51967,                0.40673,                 1.0484,                0.89792,                0.77012,                0.81588,                0.51189,                 1.1769,                0.79411,                 1.7346,             8.2683e-05,             8.2683e-05,             8.2683e-05
